Date,Close,High,Low,Open,Volume
2021-11-22,158.4249,163.02945,158.40520,159.07423,117467900
2021-11-23,158.8086,159.19232,156.49648,158.52327,96041900
2021-11-24,159.3301,159.52684,157.06713,158.15924,69463600
2021-11-26,154.2827,157.86408,153.84000,156.99827,76959800
2021-11-29,157.6574,158.59213,156.23080,156.80145,88748200
2021-11-30,162.6359,162.85235,157.34260,157.41148,174048100
2021-12-01,162.1144,167.55531,161.87830,164.78076,152052500
2021-12-02,161.1207,161.55359,155.25675,156.18160,136739200
2021-12-03,159.2317,162.30140,157.14585,161.37655,118023100
2021-12-06,162.6556,165.17432,161.63233,161.64217,107497000
2021-12-07,168.4211,168.81470,165.62692,166.35500,120405400
2021-12-08,172.2583,173.12411,167.94887,169.35583,116998900
2021-12-09,171.7466,173.90133,171.11694,172.09099,108923700
2021-12-10,176.5578,176.73495,171.87457,172.38619,115402700
2021-12-13,172.9076,179.19465,172.70102,178.20092,153237000
2021-12-14,171.5203,174.87537,169.43450,172.42550,139380400
2021-12-15,176.4103,176.60705,169.53293,172.28780,131063300
2021-12-16,169.4837,178.22061,167.99806,176.39058,150185800
2021-12-17,168.3818,170.67422,166.95515,167.19127,195432700
